player_name,current_team,season,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
"Svi Mykhailiuk","UTA","2024-25","27","UTA","NBA","SF","38","13","20.0","3.1","7.9",".391","1.8","5.3",".345","1.3",".485",".507","0.7","0.9",".800","0.6","1.8","2.4","2.0","0.5","0.2","1.4","1.1","8.8",""
"Svi Mykhailiuk","UTA","2023-24","26","BOS","NBA","SF","41","2","10.1","1.4","3.3",".416","1.0","2.6",".389","0.4",".517",".569","0.1","0.2",".667","0.3","1.0","1.2","0.9","0.3","0.0","0.3","0.5","4.0",""
"Svi Mykhailiuk","UTA","2022-23","25","2TM","NBA","SF","32","8","14.6","2.4","5.4",".445","1.3","3.1",".424","1.1",".473",".566","0.8","1.2",".667","0.5","1.2","1.7","1.7","0.5","0.1","0.8","0.7","6.9",""
"Micah Potter","UTA","2024-25","26","UTA","NBA","C","38","10","18.6","1.5","3.6",".422","0.8","2.6",".316","0.7",".703",".537","0.4","0.5",".850","1.1","3.2","4.3","0.8","0.4","0.4","0.8","1.3","4.3",""
"Micah Potter","UTA","2023-24","25","UTA","NBA","PF","16","0","11.6","1.2","2.5",".475","0.6","1.3",".429","0.6",".526",".588","0.4","0.5",".750","0.6","2.1","2.7","0.4","0.3","0.4","0.3","0.9","3.3",""
"Micah Potter","UTA","2022-23","24","UTA","NBA","PF","7","0","7.4","1.4","2.1",".667","0.6","1.0",".571","0.9",".750",".800","0.0","0.0","","0.4","1.9","2.3","0.6","0.1","0.0","0.3","0.7","3.4",""
"Brice Sensabaugh","UTA","2024-25","21","UTA","NBA","SF","71","15","20.2","3.9","8.4",".459","2.2","5.2",".422","1.7",".520",".590","0.9","1.0",".890","0.6","2.4","3.0","1.5","0.6","0.1","1.5","1.6","10.9",""
"Brice Sensabaugh","UTA","2023-24","20","UTA","NBA","SF","32","11","18.3","2.7","6.8",".390","1.1","3.6",".296","1.6",".495",".468","1.2","1.3",".902","0.5","2.7","3.2","1.7","0.4","0.2","1.5","1.3","7.5",""
"Collin Sexton","UTA","2024-25","26","UTA","NBA","SG","63","61","27.9","6.6","13.8",".480","1.7","4.3",".406","4.9",".513",".543","3.4","4.0",".865","1.0","1.8","2.7","4.2","0.7","0.1","2.5","2.3","18.4",""
"Collin Sexton","UTA","2023-24","25","UTA","NBA","SG","78","51","26.6","6.5","13.3",".487","1.6","4.2",".394","4.8",".530",".549","4.1","4.7",".859","0.9","1.7","2.6","4.9","0.8","0.2","2.1","2.0","18.7",""
"Collin Sexton","UTA","2022-23","24","UTA","NBA","PG","48","15","23.9","4.9","9.8",".506","1.0","2.5",".393","3.9",".546",".558","3.4","4.1",".819","0.8","1.4","2.2","2.9","0.6","0.1","1.8","2.3","14.3",""
"Jaden Springer","2TM","2024-25","22","2TM","NBA","SG","43","2","8.5","0.8","2.1",".389","0.3","1.1",".250","0.5",".548",".456","0.6","0.9",".711","0.4","1.0","1.3","0.8","0.6","0.1","0.4","1.0","2.5",""
"Jaden Springer","2TM","2023-24","21","2TM","NBA","SG","49","2","10.3","1.2","3.0",".399","0.2","1.0",".208","1.0",".490",".432","0.7","0.9",".833","0.7","0.9","1.6","0.9","0.7","0.3","0.7","1.3","3.3",""
"Jaden Springer","2TM","2022-23","20","PHI","NBA","SG","16","2","5.6","1.1","2.2",".486","0.1","0.3",".400","0.9",".500",".514","0.4","0.5",".750","0.4","0.5","0.9","0.5","0.4","0.2","0.2","0.9","2.6",""
"Oscar Tshiebwe","UTA","2024-25","25","UTA","NBA","C","14","1","18.2","3.0","5.0",".600","0.0","0.0","","3.0",".600",".600","1.6","2.2",".742","3.3","5.4","8.7","0.6","0.9","0.1","0.7","1.7","7.6",""
