Year,Year ending,Local Government Area,Age Group,OTH Counter
2025,June,Glenelg,35 - 44 years,120
2025,June,Glenelg,45 - 54 years,90
2025,June,Glenelg,55+ years,36
2025,June,Golden Plains,00 - 17 years,17
2025,June,Golden Plains,18 - 24 years,21
2025,June,Golden Plains,25 - 34 years,57
2025,June,Golden Plains,35 - 44 years,73
2025,June,Golden Plains,45 - 54 years,42
2025,June,Golden Plains,55+ years,51
2025,June,Greater Bendigo,00 - 17 years,249
2025,June,Greater Bendigo,18 - 24 years,368
2025,June,Greater Bendigo,25 - 34 years,778
2025,June,Greater Bendigo,35 - 44 years,653
2025,June,Greater Bendigo,45 - 54 years,404
2025,June,Greater Bendigo,55+ years,201
2025,June,Greater Dandenong,00 - 17 years,161
2025,June,Greater Dandenong,18 - 24 years,295
2025,June,Greater Dandenong,25 - 34 years,866
2025,June,Greater Dandenong,35 - 44 years,837
2025,June,Greater Dandenong,45 - 54 years,512
2025,June,Greater Dandenong,55+ years,300
2025,June,Greater Geelong,00 - 17 years,613
2025,June,Greater Geelong,18 - 24 years,734
2025,June,Greater Geelong,25 - 34 years,1400
2025,June,Greater Geelong,35 - 44 years,1543
2025,June,Greater Geelong,45 - 54 years,799
2025,June,Greater Geelong,55+ years,440
2025,June,Greater Shepparton,00 - 17 years,194
2025,June,Greater Shepparton,18 - 24 years,349
2025,June,Greater Shepparton,25 - 34 years,700
2025,June,Greater Shepparton,35 - 44 years,640
2025,June,Greater Shepparton,45 - 54 years,409
2025,June,Greater Shepparton,55+ years,134
2025,June,Hepburn,00 - 17 years,16
2025,June,Hepburn,18 - 24 years,21
2025,June,Hepburn,25 - 34 years,28
2025,June,Hepburn,35 - 44 years,64
2025,June,Hepburn,45 - 54 years,30
2025,June,Hepburn,55+ years,34
2025,June,Hindmarsh,00 - 17 years,2
2025,June,Hindmarsh,18 - 24 years,16
2025,June,Hindmarsh,25 - 34 years,31
2025,June,Hindmarsh,35 - 44 years,28
2025,June,Hindmarsh,45 - 54 years,18
2025,June,Hindmarsh,55+ years,23
2025,June,Hobsons Bay,00 - 17 years,58
2025,June,Hobsons Bay,18 - 24 years,83
2025,June,Hobsons Bay,25 - 34 years,258
2025,June,Hobsons Bay,35 - 44 years,341
2025,June,Hobsons Bay,45 - 54 years,208
2025,June,Hobsons Bay,55+ years,117
2025,June,Horsham,00 - 17 years,41
2025,June,Horsham,18 - 24 years,124
2025,June,Horsham,25 - 34 years,174
2025,June,Horsham,35 - 44 years,188
2025,June,Horsham,45 - 54 years,123
2025,June,Horsham,55+ years,60
2025,June,Hume,00 - 17 years,199
2025,June,Hume,18 - 24 years,486
2025,June,Hume,25 - 34 years,1077
2025,June,Hume,35 - 44 years,1132
2025,June,Hume,45 - 54 years,639
2025,June,Hume,55+ years,298
2025,June,Indigo,00 - 17 years,16
2025,June,Indigo,18 - 24 years,16
2025,June,Indigo,25 - 34 years,36
2025,June,Indigo,35 - 44 years,44
2025,June,Indigo,45 - 54 years,44
2025,June,Indigo,55+ years,22
