Year,Year ending,Local Government Area,OTH Sex,OTH Counter
2024,June,Bass Coast,Males,635
2024,June,Baw Baw,Females,333
2024,June,Baw Baw,Males,960
2024,June,Bayside,Females,218
2024,June,Bayside,Males,526
2024,June,Benalla,Females,71
2024,June,Benalla,Males,284
2024,June,Boroondara,Females,315
2024,June,Boroondara,Males,756
2024,June,Brimbank,Females,690
2024,June,Brimbank,Males,2302
2024,June,Buloke,Females,14
2024,June,Buloke,Males,47
2024,June,Campaspe,Females,174
2024,June,Campaspe,Males,654
2024,June,Cardinia,Females,383
2024,June,Cardinia,Males,1312
2024,June,Casey,Females,1325
2024,June,Casey,Males,4400
2024,June,Central Goldfields,Females,96
2024,June,Central Goldfields,Males,259
2024,June,Colac-Otway,Females,110
2024,June,Colac-Otway,Males,342
2024,June,Corangamite,Females,49
2024,June,Corangamite,Males,166
2024,June,Darebin,Females,418
2024,June,Darebin,Males,1334
2024,June,East Gippsland,Females,554
2024,June,East Gippsland,Males,1458
2024,June,Frankston,Females,861
2024,June,Frankston,Males,2188
2024,June,Gannawarra,Females,58
2024,June,Gannawarra,Males,153
2024,June,Glen Eira,Females,303
2024,June,Glen Eira,Males,782
2024,June,Glenelg,Females,140
2024,June,Glenelg,Males,343
2024,June,Golden Plains,Females,62
2024,June,Golden Plains,Males,163
2024,June,Greater Bendigo,Females,641
2024,June,Greater Bendigo,Males,1949
2024,June,Greater Dandenong,Females,653
2024,June,Greater Dandenong,Males,1992
2024,June,Greater Geelong,Females,1329
2024,June,Greater Geelong,Males,3752
2024,June,Greater Shepparton,Females,523
2024,June,Greater Shepparton,Males,1540
2024,June,Hepburn,Females,55
2024,June,Hepburn,Males,148
2024,June,Hindmarsh,Females,29
2024,June,Hindmarsh,Males,70
2024,June,Hobsons Bay,Females,267
2024,June,Hobsons Bay,Males,761
2024,June,Horsham,Females,182
2024,June,Horsham,Males,516
2024,June,Hume,Females,865
2024,June,Hume,Males,2761
2024,June,Indigo,Females,58
2024,June,Indigo,Males,117
2024,June,Kingston,Females,500
2024,June,Kingston,Males,1320
2024,June,Knox,Females,513
2024,June,Knox,Males,1487
2024,June,Latrobe,Females,849
2024,June,Latrobe,Males,2191
2024,June,Loddon,Females,34
2024,June,Loddon,Males,79
2024,June,Macedon Ranges,Females,96
2024,June,Macedon Ranges,Males,426
2024,June,Manningham,Females,269
2024,June,Manningham,Males,750
2024,June,Mansfield,Females,22
2024,June,Mansfield,Males,114
2024,June,Maribyrnong,Females,267
2024,June,Maribyrnong,Males,847
2024,June,Maroondah,Females,368
2024,June,Maroondah,Males,1041
2024,June,Melbourne,Females,510
2024,June,Melbourne,Males,1622
2024,June,Melton,Females,813
2024,June,Melton,Males,2407
2024,June,Merri-bek,Females,454
2024,June,Merri-bek,Males,1330
2024,June,Mildura,Females,525
2024,June,Mildura,Males,1565
2024,June,Mitchell,Females,334
2024,June,Mitchell,Males,992
2024,June,Moira,Females,164
2024,June,Moira,Males,481
2024,June,Monash,Females,570
2024,June,Monash,Males,1350
2024,June,Moonee Valley,Females,349
2024,June,Moonee Valley,Males,1002
2024,June,Moorabool,Females,170
2024,June,Moorabool,Males,451
2024,June,Mornington Peninsula,Females,650
2024,June,Mornington Peninsula,Males,1626
2024,June,Mount Alexander,Females,57
2024,June,Mount Alexander,Males,163
2024,June,Moyne,Females,33
2024,June,Moyne,Males,162
2024,June,Murrindindi,Females,42
2024,June,Murrindindi,Males,145
2024,June,Nillumbik,Females,110
2024,June,Nillumbik,Males,327
2024,June,Northern Grampians,Females,95
2024,June,Northern Grampians,Males,271
2024,June,Port Phillip,Females,301
2024,June,Port Phillip,Males,1053
2024,June,Pyrenees,Females,36
2024,June,Pyrenees,Males,83
2024,June,Queenscliffe,Females,5
2024,June,Queenscliffe,Males,13
2024,June,South Gippsland,Females,151
2024,June,South Gippsland,Males,423
2024,June,Southern Grampians,Females,119
2024,June,Southern Grampians,Males,243
2024,June,Stonnington,Females,232
2024,June,Stonnington,Males,710
2024,June,Strathbogie,Females,36
2024,June,Strathbogie,Males,112
2024,June,Surf Coast,Females,70
2024,June,Surf Coast,Males,194
2024,June,Swan Hill,Females,210
2024,June,Swan Hill,Males,488
2024,June,Towong,Females,12
2024,June,Towong,Males,64
2024,June,Wangaratta,Females,188
2024,June,Wangaratta,Males,459
2024,June,Warrnambool,Females,181
2024,June,Warrnambool,Males,580
2024,June,Wellington,Females,357
2024,June,Wellington,Males,975
2024,June,West Wimmera,Females,14
2024,June,West Wimmera,Males,50
2024,June,Whitehorse,Females,458
2024,June,Whitehorse,Males,1063
2024,June,Whittlesea,Females,603
2024,June,Whittlesea,Males,2283
2024,June,Wodonga,Females,282
2024,June,Wodonga,Males,771
2024,June,Wyndham,Females,1017
2024,June,Wyndham,Males,3367
2024,June,Yarra,Females,285
2024,June,Yarra,Males,750
2024,June,Yarra Ranges,Females,538
2024,June,Yarra Ranges,Males,1479
2024,June,Yarriambiack,Females,38
2024,June,Yarriambiack,Males,86
2023,June,Alpine,Females,33
2023,June,Alpine,Males,113
2023,June,Ararat,Females,66
2023,June,Ararat,Males,224
2023,June,Ballarat,Females,604
2023,June,Ballarat,Males,1627
2023,June,Banyule,Females,278
2023,June,Banyule,Males,885
2023,June,Bass Coast,Females,223
2023,June,Bass Coast,Males,560
2023,June,Baw Baw,Females,204
2023,June,Baw Baw,Males,755
2023,June,Bayside,Females,236
2023,June,Bayside,Males,560
2023,June,Benalla,Females,88
2023,June,Benalla,Males,333
2023,June,Boroondara,Females,300
2023,June,Boroondara,Males,743
2023,June,Brimbank,Females,657
2023,June,Brimbank,Males,2177
2023,June,Buloke,Females,17
2023,June,Buloke,Males,41
2023,June,Campaspe,Females,147
2023,June,Campaspe,Males,621
2023,June,Cardinia,Females,400
2023,June,Cardinia,Males,1156
2023,June,Casey,Females,1317
2023,June,Casey,Males,4101
2023,June,Central Goldfields,Females,115
2023,June,Central Goldfields,Males,259
2023,June,Colac-Otway,Females,128
2023,June,Colac-Otway,Males,291
2023,June,Corangamite,Females,36
2023,June,Corangamite,Males,139
2023,June,Darebin,Females,441
2023,June,Darebin,Males,1269
2023,June,East Gippsland,Females,405
2023,June,East Gippsland,Males,1183
2023,June,Frankston,Females,704
2023,June,Frankston,Males,1926
2023,June,Gannawarra,Females,44
2023,June,Gannawarra,Males,145
2023,June,Glen Eira,Females,312
2023,June,Glen Eira,Males,813
2023,June,Glenelg,Females,125
2023,June,Glenelg,Males,299
2023,June,Golden Plains,Females,76
2023,June,Golden Plains,Males,159
2023,June,Greater Bendigo,Females,582
2023,June,Greater Bendigo,Males,1889
2023,June,Greater Dandenong,Females,635
2023,June,Greater Dandenong,Males,2017
2023,June,Greater Geelong,Females,1322
2023,June,Greater Geelong,Males,3533
2023,June,Greater Shepparton,Females,434
2023,June,Greater Shepparton,Males,1310
2023,June,Hepburn,Females,35
2023,June,Hepburn,Males,137
2023,June,Hindmarsh,Females,17
2023,June,Hindmarsh,Males,71
2023,June,Hobsons Bay,Females,272
2023,June,Hobsons Bay,Males,718
2023,June,Horsham,Females,153
2023,June,Horsham,Males,438
2023,June,Hume,Females,873
2023,June,Hume,Males,2758
2023,June,Indigo,Females,53
2023,June,Indigo,Males,149
2023,June,Kingston,Females,475
2023,June,Kingston,Males,1371
2023,June,Knox,Females,494
2023,June,Knox,Males,1467
2023,June,Latrobe,Females,741
2023,June,Latrobe,Males,1821
2023,June,Loddon,Females,38
2023,June,Loddon,Males,82
2023,June,Macedon Ranges,Females,123
2023,June,Macedon Ranges,Males,346
2023,June,Manningham,Females,308
2023,June,Manningham,Males,691
2023,June,Mansfield,Females,12
2023,June,Mansfield,Males,72
2023,June,Maribyrnong,Females,316
2023,June,Maribyrnong,Males,897
2023,June,Maroondah,Females,321
2023,June,Maroondah,Males,1023
2023,June,Melbourne,Females,523
2023,June,Melbourne,Males,1589
2023,June,Melton,Females,681
2023,June,Melton,Males,2119
2023,June,Merri-bek,Females,493
2023,June,Merri-bek,Males,1491
2023,June,Mildura,Females,516
2023,June,Mildura,Males,1424
2023,June,Mitchell,Females,269
2023,June,Mitchell,Males,823
