Year,Year ending,Local Government Area,AFM Sex,AFM Counter
2024,June,Bass Coast,Males,217
2024,June,Baw Baw,Females,981
2024,June,Baw Baw,Males,312
2024,June,Bayside,Females,526
2024,June,Bayside,Males,220
2024,June,Benalla,Females,265
2024,June,Benalla,Males,90
2024,June,Boroondara,Females,729
2024,June,Boroondara,Males,347
2024,June,Brimbank,Females,2329
2024,June,Brimbank,Males,662
2024,June,Buloke,Females,45
2024,June,Buloke,Males,16
2024,June,Campaspe,Females,640
2024,June,Campaspe,Males,191
2024,June,Cardinia,Females,1347
2024,June,Cardinia,Males,351
2024,June,Casey,Females,4336
2024,June,Casey,Males,1395
2024,June,Central Goldfields,Females,253
2024,June,Central Goldfields,Males,96
2024,June,Colac-Otway,Females,335
2024,June,Colac-Otway,Males,117
2024,June,Corangamite,Females,158
2024,June,Corangamite,Males,56
2024,June,Darebin,Females,1373
2024,June,Darebin,Males,385
2024,June,East Gippsland,Females,1484
2024,June,East Gippsland,Males,524
2024,June,Frankston,Females,2248
2024,June,Frankston,Males,804
2024,June,Gannawarra,Females,168
2024,June,Gannawarra,Males,44
2024,June,Glen Eira,Females,736
2024,June,Glen Eira,Males,347
2024,June,Glenelg,Females,342
2024,June,Glenelg,Males,142
2024,June,Golden Plains,Females,175
2024,June,Golden Plains,Males,50
2024,June,Greater Bendigo,Females,1989
2024,June,Greater Bendigo,Males,599
2024,June,Greater Dandenong,Females,2003
2024,June,Greater Dandenong,Males,648
2024,June,Greater Geelong,Females,3935
2024,June,Greater Geelong,Males,1145
2024,June,Greater Shepparton,Females,1568
2024,June,Greater Shepparton,Males,497
2024,June,Hepburn,Females,151
2024,June,Hepburn,Males,52
2024,June,Hindmarsh,Females,60
2024,June,Hindmarsh,Males,39
2024,June,Hobsons Bay,Females,784
2024,June,Hobsons Bay,Males,242
2024,June,Horsham,Females,512
2024,June,Horsham,Males,186
2024,June,Hume,Females,2735
2024,June,Hume,Males,895
2024,June,Indigo,Females,117
2024,June,Indigo,Males,58
2024,June,Kingston,Females,1291
2024,June,Kingston,Males,528
2024,June,Knox,Females,1475
2024,June,Knox,Males,526
2024,June,Latrobe,Females,2206
2024,June,Latrobe,Males,839
2024,June,Loddon,Females,78
2024,June,Loddon,Males,35
2024,June,Macedon Ranges,Females,397
2024,June,Macedon Ranges,Males,126
2024,June,Manningham,Females,708
2024,June,Manningham,Males,312
2024,June,Mansfield,Females,105
2024,June,Mansfield,Males,26
2024,June,Maribyrnong,Females,831
2024,June,Maribyrnong,Males,284
2024,June,Maroondah,Females,1033
2024,June,Maroondah,Males,377
2024,June,Melbourne,Females,1602
2024,June,Melbourne,Males,534
2024,June,Melton,Females,2391
2024,June,Melton,Males,825
2024,June,Merri-bek,Females,1356
2024,June,Merri-bek,Males,430
2024,June,Mildura,Females,1538
2024,June,Mildura,Males,552
2024,June,Mitchell,Females,1000
2024,June,Mitchell,Males,327
2024,June,Moira,Females,471
2024,June,Moira,Males,174
2024,June,Monash,Females,1329
2024,June,Monash,Males,589
2024,June,Moonee Valley,Females,967
2024,June,Moonee Valley,Males,389
2024,June,Moorabool,Females,449
2024,June,Moorabool,Males,173
2024,June,Mornington Peninsula,Females,1696
2024,June,Mornington Peninsula,Males,581
2024,June,Mount Alexander,Females,160
2024,June,Mount Alexander,Males,61
2024,June,Moyne,Females,151
2024,June,Moyne,Males,44
2024,June,Murrindindi,Females,143
2024,June,Murrindindi,Males,44
2024,June,Nillumbik,Females,323
2024,June,Nillumbik,Males,117
2024,June,Northern Grampians,Females,306
2024,June,Northern Grampians,Males,60
2024,June,Port Phillip,Females,1027
2024,June,Port Phillip,Males,331
2024,June,Pyrenees,Females,78
2024,June,Pyrenees,Males,41
2024,June,Queenscliffe,Females,13
2024,June,Queenscliffe,Males,5
2024,June,South Gippsland,Females,415
2024,June,South Gippsland,Males,159
2024,June,Southern Grampians,Females,251
2024,June,Southern Grampians,Males,111
2024,June,Stonnington,Females,672
2024,June,Stonnington,Males,271
2024,June,Strathbogie,Females,102
2024,June,Strathbogie,Males,46
2024,June,Surf Coast,Females,186
2024,June,Surf Coast,Males,77
2024,June,Swan Hill,Females,529
2024,June,Swan Hill,Males,169
2024,June,Towong,Females,57
2024,June,Towong,Males,19
2024,June,Wangaratta,Females,462
2024,June,Wangaratta,Males,185
2024,June,Warrnambool,Females,602
2024,June,Warrnambool,Males,160
2024,June,Wellington,Females,964
2024,June,Wellington,Males,370
2024,June,West Wimmera,Females,53
2024,June,West Wimmera,Males,11
2024,June,Whitehorse,Females,1080
2024,June,Whitehorse,Males,441
2024,June,Whittlesea,Females,2250
2024,June,Whittlesea,Males,638
2024,June,Wodonga,Females,788
2024,June,Wodonga,Males,267
2024,June,Wyndham,Females,3342
2024,June,Wyndham,Males,1058
2024,June,Yarra,Females,739
2024,June,Yarra,Males,293
2024,June,Yarra Ranges,Females,1463
2024,June,Yarra Ranges,Males,553
2024,June,Yarriambiack,Females,96
2024,June,Yarriambiack,Males,28
2023,June,Alpine,Females,110
2023,June,Alpine,Males,37
2023,June,Ararat,Females,224
2023,June,Ararat,Males,66
2023,June,Ballarat,Females,1631
2023,June,Ballarat,Males,598
2023,June,Banyule,Females,875
2023,June,Banyule,Males,288
2023,June,Bass Coast,Females,568
2023,June,Bass Coast,Males,215
2023,June,Baw Baw,Females,737
2023,June,Baw Baw,Males,221
2023,June,Bayside,Females,585
2023,June,Bayside,Males,209
2023,June,Benalla,Females,309
2023,June,Benalla,Males,114
2023,June,Boroondara,Females,728
2023,June,Boroondara,Males,314
2023,June,Brimbank,Females,2199
2023,June,Brimbank,Males,639
2023,June,Buloke,Females,47
2023,June,Buloke,Males,11
2023,June,Campaspe,Females,605
2023,June,Campaspe,Males,163
2023,June,Cardinia,Females,1177
2023,June,Cardinia,Males,380
2023,June,Casey,Females,4099
2023,June,Casey,Males,1326
2023,June,Central Goldfields,Females,277
2023,June,Central Goldfields,Males,97
2023,June,Colac-Otway,Females,295
2023,June,Colac-Otway,Males,124
2023,June,Corangamite,Females,127
2023,June,Corangamite,Males,48
2023,June,Darebin,Females,1267
2023,June,Darebin,Males,442
2023,June,East Gippsland,Females,1203
2023,June,East Gippsland,Males,381
2023,June,Frankston,Females,1989
2023,June,Frankston,Males,645
2023,June,Gannawarra,Females,147
2023,June,Gannawarra,Males,42
2023,June,Glen Eira,Females,800
2023,June,Glen Eira,Males,323
2023,June,Glenelg,Females,290
2023,June,Glenelg,Males,134
2023,June,Golden Plains,Females,154
2023,June,Golden Plains,Males,81
2023,June,Greater Bendigo,Females,1895
2023,June,Greater Bendigo,Males,577
2023,June,Greater Dandenong,Females,2033
2023,June,Greater Dandenong,Males,625
2023,June,Greater Geelong,Females,3692
2023,June,Greater Geelong,Males,1168
2023,June,Greater Shepparton,Females,1350
2023,June,Greater Shepparton,Males,395
2023,June,Hepburn,Females,132
2023,June,Hepburn,Males,40
2023,June,Hindmarsh,Females,63
2023,June,Hindmarsh,Males,25
2023,June,Hobsons Bay,Females,677
2023,June,Hobsons Bay,Males,312
2023,June,Horsham,Females,419
2023,June,Horsham,Males,173
2023,June,Hume,Females,2730
2023,June,Hume,Males,908
2023,June,Indigo,Females,143
2023,June,Indigo,Males,58
2023,June,Kingston,Females,1386
2023,June,Kingston,Males,462
2023,June,Knox,Females,1437
2023,June,Knox,Males,528
2023,June,Latrobe,Females,1906
2023,June,Latrobe,Males,658
