Year,Year ending,Local Government Area,Age Group,AFM Counter
2025,June,Glenelg,35 - 44 years,120
2025,June,Glenelg,45 - 54 years,81
2025,June,Glenelg,55+ years,61
2025,June,Golden Plains,00 - 17 years,23
2025,June,Golden Plains,18 - 24 years,24
2025,June,Golden Plains,25 - 34 years,45
2025,June,Golden Plains,35 - 44 years,80
2025,June,Golden Plains,45 - 54 years,50
2025,June,Golden Plains,55+ years,41
2025,June,Greater Bendigo,00 - 17 years,264
2025,June,Greater Bendigo,18 - 24 years,327
2025,June,Greater Bendigo,25 - 34 years,642
2025,June,Greater Bendigo,35 - 44 years,603
2025,June,Greater Bendigo,45 - 54 years,422
2025,June,Greater Bendigo,55+ years,392
2025,June,Greater Dandenong,00 - 17 years,194
2025,June,Greater Dandenong,18 - 24 years,347
2025,June,Greater Dandenong,25 - 34 years,762
2025,June,Greater Dandenong,35 - 44 years,713
2025,June,Greater Dandenong,45 - 54 years,426
2025,June,Greater Dandenong,55+ years,546
2025,June,Greater Geelong,00 - 17 years,405
2025,June,Greater Geelong,18 - 24 years,674
2025,June,Greater Geelong,25 - 34 years,1190
2025,June,Greater Geelong,35 - 44 years,1468
2025,June,Greater Geelong,45 - 54 years,976
2025,June,Greater Geelong,55+ years,813
2025,June,Greater Shepparton,00 - 17 years,249
2025,June,Greater Shepparton,18 - 24 years,280
2025,June,Greater Shepparton,25 - 34 years,640
2025,June,Greater Shepparton,35 - 44 years,589
2025,June,Greater Shepparton,45 - 54 years,362
2025,June,Greater Shepparton,55+ years,298
2025,June,Hepburn,00 - 17 years,14
2025,June,Hepburn,18 - 24 years,17
2025,June,Hepburn,25 - 34 years,25
2025,June,Hepburn,35 - 44 years,52
2025,June,Hepburn,45 - 54 years,51
2025,June,Hepburn,55+ years,37
2025,June,Hindmarsh,00 - 17 years,14
2025,June,Hindmarsh,18 - 24 years,8
2025,June,Hindmarsh,25 - 34 years,29
2025,June,Hindmarsh,35 - 44 years,28
2025,June,Hindmarsh,45 - 54 years,13
2025,June,Hindmarsh,55+ years,24
2025,June,Hobsons Bay,00 - 17 years,58
2025,June,Hobsons Bay,18 - 24 years,114
2025,June,Hobsons Bay,25 - 34 years,234
2025,June,Hobsons Bay,35 - 44 years,269
2025,June,Hobsons Bay,45 - 54 years,218
2025,June,Hobsons Bay,55+ years,176
2025,June,Horsham,00 - 17 years,107
2025,June,Horsham,18 - 24 years,125
2025,June,Horsham,25 - 34 years,211
2025,June,Horsham,35 - 44 years,88
2025,June,Horsham,45 - 54 years,91
2025,June,Horsham,55+ years,86
2025,June,Hume,00 - 17 years,305
2025,June,Hume,18 - 24 years,453
2025,June,Hume,25 - 34 years,895
2025,June,Hume,35 - 44 years,992
2025,June,Hume,45 - 54 years,576
2025,June,Hume,55+ years,611
2025,June,Indigo,00 - 17 years,12
2025,June,Indigo,18 - 24 years,13
2025,June,Indigo,25 - 34 years,19
2025,June,Indigo,35 - 44 years,53
2025,June,Indigo,45 - 54 years,42
2025,June,Indigo,55+ years,39
2025,June,Kingston,00 - 17 years,284
2025,June,Kingston,18 - 24 years,158
2025,June,Kingston,25 - 34 years,311
2025,June,Kingston,35 - 44 years,454
2025,June,Kingston,45 - 54 years,401
2025,June,Kingston,55+ years,427
2025,June,Knox,00 - 17 years,199
2025,June,Knox,18 - 24 years,196
2025,June,Knox,25 - 34 years,400
2025,June,Knox,35 - 44 years,464
2025,June,Knox,45 - 54 years,346
2025,June,Knox,55+ years,295
2025,June,Latrobe,00 - 17 years,310
2025,June,Latrobe,18 - 24 years,382
2025,June,Latrobe,25 - 34 years,814
2025,June,Latrobe,35 - 44 years,706
2025,June,Latrobe,45 - 54 years,401
2025,June,Latrobe,55+ years,379
2025,June,Loddon,00 - 17 years,10
2025,June,Loddon,18 - 24 years,23
2025,June,Loddon,25 - 34 years,31
2025,June,Loddon,35 - 44 years,29
2025,June,Loddon,45 - 54 years,13
2025,June,Loddon,55+ years,36
2025,June,Macedon Ranges,00 - 17 years,41
2025,June,Macedon Ranges,18 - 24 years,36
2025,June,Macedon Ranges,25 - 34 years,82
2025,June,Macedon Ranges,35 - 44 years,149
2025,June,Macedon Ranges,45 - 54 years,113
2025,June,Macedon Ranges,55+ years,119
2025,June,Manningham,00 - 17 years,101
2025,June,Manningham,18 - 24 years,75
2025,June,Manningham,25 - 34 years,96
2025,June,Manningham,35 - 44 years,195
2025,June,Manningham,45 - 54 years,222
2025,June,Manningham,55+ years,154
2025,June,Mansfield,00 - 17 years,2
2025,June,Mansfield,18 - 24 years,7
2025,June,Mansfield,25 - 34 years,24
2025,June,Mansfield,35 - 44 years,30
2025,June,Mansfield,45 - 54 years,25
2025,June,Mansfield,55+ years,25
2025,June,Maribyrnong,00 - 17 years,54
2025,June,Maribyrnong,18 - 24 years,157
2025,June,Maribyrnong,25 - 34 years,321
2025,June,Maribyrnong,35 - 44 years,288
2025,June,Maribyrnong,45 - 54 years,213
2025,June,Maribyrnong,55+ years,181
2025,June,Maroondah,00 - 17 years,157
2025,June,Maroondah,18 - 24 years,132
2025,June,Maroondah,25 - 34 years,318
2025,June,Maroondah,35 - 44 years,362
2025,June,Maroondah,45 - 54 years,259
2025,June,Maroondah,55+ years,248
2025,June,Melbourne,00 - 17 years,127
2025,June,Melbourne,18 - 24 years,477
2025,June,Melbourne,25 - 34 years,677
2025,June,Melbourne,35 - 44 years,491
2025,June,Melbourne,45 - 54 years,223
2025,June,Melbourne,55+ years,162
2025,June,Melton,00 - 17 years,220
2025,June,Melton,18 - 24 years,413
2025,June,Melton,25 - 34 years,1075
2025,June,Melton,35 - 44 years,983
2025,June,Melton,45 - 54 years,499
2025,June,Melton,55+ years,390
2025,June,Merri-bek,00 - 17 years,90
2025,June,Merri-bek,18 - 24 years,253
2025,June,Merri-bek,25 - 34 years,477
2025,June,Merri-bek,35 - 44 years,422
2025,June,Merri-bek,45 - 54 years,279
2025,June,Merri-bek,55+ years,341
2025,June,Mildura,00 - 17 years,262
2025,June,Mildura,18 - 24 years,300
2025,June,Mildura,25 - 34 years,492
2025,June,Mildura,35 - 44 years,577
2025,June,Mildura,45 - 54 years,265
2025,June,Mildura,55+ years,273
2025,June,Mitchell,00 - 17 years,117
2025,June,Mitchell,18 - 24 years,157
